swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
1.0042,1.0000,521.0755,526.3966,163.982,157.807, 5.71,-7.79,-2.46,-2.08
0.9958,1.0000,526.3966,532.9688,157.807,149.995, 6.11,-9.43,-2.87,-3.32
1.0000,1.0000,532.9688,532.9230,149.995,148.054,-2.23,-2.27,-2.31,-4.50
1.0030,1.0000,532.9230,527.9383,148.054,150.631,-5.52, 3.02,-1.96,-2.50
0.9989,1.0000,527.9383,520.8134,150.631,154.927,-7.41, 5.15,-1.98,-2.26
1.0022,1.0000,520.8134,515.0276,154.927,157.840,-5.09, 3.57,-2.21,-1.51
0.9965,1.0000,515.0276,511.0188,157.840,159.245,-3.75, 1.75,-2.27,-2.00
0.9983,1.0000,511.0188,508.0134,159.245,159.444,-2.72, 0.25,-2.76,-2.47
1.0012,1.0000,508.0134,506.2005,159.444,159.152,-1.47,-0.36,-2.17,-1.83
0.9990,1.0000,506.2005,505.6083,159.152,157.614,-0.31,-1.91,-2.51,-2.22
1.0006,1.0000,505.6083,506.1413,157.614,155.654, 0.86,-2.41,-1.87,-1.55
1.0003,1.0000,506.1413,508.2064,155.654,151.910, 2.57,-4.52,-2.45,-1.95
0.9997,1.0000,508.2064,512.4528,151.910,146.525, 4.87,-6.30,-2.06,-1.43
1.0001,1.0000,512.4528,518.9649,146.525,138.972, 7.01,-8.45,-1.94,-1.45
1.0032,1.0000,518.9649,527.0008,138.972,130.797, 8.29,-8.64,-0.61,-0.35
1.0002,1.0000,527.0008,535.6936,130.797,120.743, 8.80,-9.91,-1.22,-1.10
0.9979,1.0000,535.6936,544.4638,120.743,109.607, 8.64,-10.05,-1.28,-1.41
0.9991,1.0000,544.4638,552.4501,109.607,98.698, 7.66,-8.90,-0.91,-1.24
0.9987,1.0000,552.4501,558.8724,98.698,89.544, 5.92,-6.74,-0.32,-0.82
1.0020,1.0000,558.8724,563.3369,89.544,82.496, 4.03,-4.74,-0.28,-0.72
1.0012,1.0000,563.3369,566.4820,82.496,77.465, 2.84,-3.15, 0.00,-0.31
0.9984,1.0000,566.4820,568.0727,77.465,74.500, 1.13,-1.76,-0.17,-0.64
1.0026,1.0000,568.0727,568.6049,74.500,73.235, 0.36,-0.73,-0.20,-0.37
0.9990,1.0000,568.6049,567.7776,73.235,74.300,-1.34, 0.61,-0.21,-0.73
0.9987,1.0000,567.7776,565.4097,74.300,77.763,-2.53, 2.06,-0.31,-0.47
1.0023,1.0000,565.4097,562.9024,77.763,81.454,-2.41, 2.30,-0.21,-0.11
0.9994,1.0000,562.9024,560.9893,81.454,84.171,-1.73, 1.76,-0.15, 0.03
1.0103,1.0000,560.9893,559.2793,84.171,86.431,-1.81, 1.51,-0.20,-0.30
1.0033,1.0000,559.2793,557.0651,86.431,89.155,-2.36, 1.87,-0.34,-0.49
1.0001,1.0556,557.0651,554.3137,89.155,92.470,-2.74, 2.23,-0.40,-0.51
1.0009,1.0000,554.3137,551.8618,92.470,95.202,-2.01, 2.01,-0.45, 0.00
1.0010,1.0000,551.8618,550.9117,95.202,96.031,-0.81, 0.62,-0.33,-0.19
0.9985,1.0000,550.9117,550.0798,96.031,96.585,-0.89, 0.42,-0.41,-0.47
1.0011,1.0000,550.0798,549.0429,96.585,97.209,-1.08, 0.47,-0.56,-0.61
0.9982,1.0000,549.0429,547.8234,97.209,98.079,-1.27, 0.66,-0.56,-0.60
0.9995,1.0000,547.8234,546.3094,98.079,99.429,-1.66, 1.04,-0.47,-0.62
1.0031,1.0000,546.3094,544.1729,99.429,101.521,-2.30, 1.65,-0.49,-0.65
1.0010,1.0000,544.1729,541.7477,101.521,103.722,-2.40, 1.77,-0.66,-0.63
0.9966,1.0000,541.7477,539.3029,103.722,105.806,-2.47, 1.71,-0.74,-0.76
0.9992,1.0000,539.3029,536.8889,105.806,108.058,-2.36, 1.89,-0.53,-0.48
1.0027,1.0000,536.8889,534.6886,108.058,110.052,-2.15, 1.70,-0.50,-0.44
1.0012,1.0000,534.6886,532.7012,110.052,111.391,-1.94, 1.16,-0.82,-0.78
0.9988,1.0000,532.7012,530.8588,111.391,112.703,-1.81, 1.15,-0.69,-0.66
1.0009,1.0000,530.8588,529.1694,112.703,114.288,-1.65, 1.41,-0.28,-0.24
0.9975,1.0000,529.1694,527.6554,114.288,115.019,-1.46, 0.66,-0.86,-0.80
1.0030,1.0000,527.6554,526.4429,115.019,115.210,-1.09, 0.17,-1.04,-0.92
0.9998,1.0000,526.4429,525.5974,115.210,115.175,-0.79,-0.03,-0.88,-0.82
0.9974,1.0000,525.5974,524.9167,115.175,114.709,-0.67,-0.42,-1.10,-1.09
0.9988,1.0000,524.9167,524.2564,114.709,113.925,-0.66,-0.70,-1.36,-1.36
1.0030,1.0000,524.2564,523.5850,113.925,113.733,-0.70,-0.17,-0.84,-0.87
1.0002,1.0000,523.5850,522.6866,113.733,113.701,-0.99,-0.03,-0.93,-1.02
0.9990,1.0000,522.6866,521.4517,113.701,114.074,-1.31, 0.33,-0.90,-0.98
0.9973,1.0000,521.4517,519.9764,114.074,114.994,-1.53, 0.83,-0.65,-0.71
1.0020,1.0000,519.9764,518.3133,114.994,115.939,-1.70, 0.86,-0.81,-0.84
